W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,Gain,Gain_Phase,UGBW,PM_db,PM_PH
5.967u,494.399n,12.917u,371.568n,6.764u,308.015n,353.460u,323.729n,111.198u,444.561n,24.821u,0.763p,,,,,
8.431u,470.310n,26.741u,217.697n,5.672u,413.497n,224.626u,340.160n,131.864u,451.402n,19.754u,0.536p,84.8115095697,106.767984094,181633.684937,38.8861482727,0.0
11.558u,187.240n,26.571u,511.691n,8.664u,302.737n,90.453u,290.598n,90.555u,517.420n,22.697u,0.756p,92.0258507082,91.045803894,394830.952671,38.1911288567,0.0
17.570u,296.349n,5.140u,271.616n,22.976u,504.352n,124.440u,413.839n,93.626u,248.057n,28.160u,1.982p,87.5397204298,90.4519120594,237615.129554,38.6567586445,0.0
20.999u,351.018n,11.447u,270.630n,2.477u,461.288n,343.809u,395.658n,49.254u,359.359n,28.008u,1.556p,88.0353856445,91.9090387063,252229.978731,38.8917533068,0.0
15.878u,509.310n,11.818u,300.401n,7.292u,467.343n,107.865u,274.677n,15.130u,204.590n,29.990u,2.194p,83.7383343517,90.6734354294,153512.785097,38.7201220957,0.0
22.065u,193.494n,16.020u,305.904n,8.005u,258.521n,226.683u,408.491n,131.880u,320.637n,17.215u,1.925p,84.0432226541,90.8468157395,159217.906347,38.886203572,0.0
19.581u,187.226n,27.910u,381.910n,2.782u,472.557n,72.661u,354.426n,128.444u,485.987n,11.343u,1.123p,75.5086327399,91.4107262846,59645.3918729,38.9996855787,0.0
11.367u,245.302n,27.658u,481.826n,21.077u,241.513n,179.006u,408.864n,38.313u,304.624n,19.166u,0.501p,84.880816598,101.341823181,178035.258999,38.5082792388,0.0
2.765u,195.637n,13.338u,279.969n,5.341u,311.761n,208.668u,266.120n,76.311u,365.443n,27.604u,2.978p,76.8415009249,91.174663848,69530.246381,39.0152575701,0.0
